time,evse_1_wh,evse_2_wh,evse_3_wh
2023-01-01 00:00:00,,,
2023-01-01 01:00:00,,,
2023-01-01 02:00:00,,,
2023-01-01 03:00:00,,,
2023-01-01 04:00:00,,,
2023-01-01 05:00:00,,,
2023-01-01 06:00:00,,,
2023-01-01 07:00:00,,,
2023-01-01 08:00:00,,,
2023-01-01 09:00:00,,,
2023-01-01 10:00:00,,,
2023-01-01 11:00:00,,,
2023-01-01 12:00:00,,,
2023-01-01 13:00:00,,,
2023-01-01 14:00:00,,,
2023-01-01 15:00:00,,,
2023-01-01 16:00:00,,,
2023-01-01 17:00:00,,,
2023-01-01 18:00:00,,,
2023-01-01 19:00:00,,,
2023-01-01 20:00:00,,,
2023-01-01 21:00:00,,,
2023-01-01 22:00:00,,,
2023-01-01 23:00:00,,,
2023-01-02 00:00:00,,,
2023-01-02 01:00:00,,,
2023-01-02 02:00:00,,,
2023-01-02 03:00:00,,,
2023-01-02 04:00:00,,,
2023-01-02 05:00:00,,,
2023-01-02 06:00:00,,,
2023-01-02 07:00:00,,,
2023-01-02 08:00:00,,,
2023-01-02 09:00:00,,,
2023-01-02 10:00:00,,,
2023-01-02 11:00:00,,,
2023-01-02 12:00:00,,,
2023-01-02 13:00:00,,,
2023-01-02 14:00:00,,,
2023-01-02 15:00:00,,,
2023-01-02 16:00:00,,,
2023-01-02 17:00:00,,,
2023-01-02 18:00:00,,,
2023-01-02 19:00:00,,,
2023-01-02 20:00:00,,,
2023-01-02 21:00:00,,,
2023-01-02 22:00:00,,,
2023-01-02 23:00:00,,,
2023-01-03 00:00:00,,,
2023-01-03 01:00:00,,,
2023-01-03 02:00:00,,,
2023-01-03 03:00:00,,,
2023-01-03 04:00:00,,,
2023-01-03 05:00:00,,,
2023-01-03 06:00:00,,,
2023-01-03 07:00:00,,,
2023-01-03 08:00:00,,,
2023-01-03 09:00:00,,,
2023-01-03 10:00:00,,,
2023-01-03 11:00:00,,,
2023-01-03 12:00:00,,,
2023-01-03 13:00:00,,,
2023-01-03 14:00:00,,,
2023-01-03 15:00:00,0.014,0.0241,0.0068
2023-01-03 16:00:00,0.0167,0.0163,0.0163
2023-01-03 17:00:00,0.00525,0.00826,0.00275
2023-01-03 18:00:00,0.0,0.0354,0.0
2023-01-03 19:00:00,0.00549,0.0954,0.00535
2023-01-03 20:00:00,0.0,0.104,0.0109
2023-01-03 21:00:00,0.00275,0.0384,0.0
2023-01-03 22:00:00,0.0,0.0301,0.00552
2023-01-03 23:00:00,0.00548,0.0165,0.00546
2023-01-04 00:00:00,0.0,0.0193,0.0138
2023-01-04 01:00:00,0.0,0.0191,0.0109
2023-01-04 02:00:00,0.00272,0.128,0.0
2023-01-04 03:00:00,0.00277,0.146,0.00822
2023-01-04 04:00:00,0.00272,0.0217,0.00551
2023-01-04 05:00:00,0.00278,0.0217,0.00826
2023-01-04 06:00:00,0.0,0.0249,0.0162
2023-01-04 07:00:00,1052.0,0.0189,0.00538
2023-01-04 08:00:00,4233.0,0.0598,8106.0
2023-01-04 09:00:00,4238.0,0.0378,7702.0
2023-01-04 10:00:00,4248.0,0.0109,0.00551
2023-01-04 11:00:00,1525.0,0.0326,0.00546
2023-01-04 12:00:00,0.00798,0.0165,0.00822
2023-01-04 13:00:00,0.0273,0.0163,0.00546
2023-01-04 14:00:00,0.0,0.0403,0.011
2023-01-04 15:00:00,0.0,0.0303,0.0247
2023-01-04 16:00:00,0.0,0.0295,0.0
2023-01-04 17:00:00,0.00546,0.0272,0.00815
2023-01-04 18:00:00,0.00272,0.0302,0.0
2023-01-04 19:00:00,0.00524,0.022,0.00536
2023-01-04 20:00:00,0.0,0.0242,0.0027
2023-01-04 21:00:00,0.011,0.0245,0.00826
2023-01-04 22:00:00,0.0137,0.0243,0.00268
2023-01-04 23:00:00,0.0027,0.0297,0.0027
2023-01-05 00:00:00,0.00275,0.0166,0.0107
2023-01-05 01:00:00,0.0,0.0323,0.00268
2023-01-05 02:00:00,0.00273,0.0271,0.0109
2023-01-05 03:00:00,0.0,0.0218,0.00824
2023-01-05 04:00:00,0.00551,0.0324,0.0027
2023-01-05 05:00:00,0.0,0.0272,0.00806
2023-01-05 06:00:00,3319.0,0.0306,0.00272
2023-01-05 07:00:00,6794.0,0.019,0.00542
2023-01-05 08:00:00,6780.0,0.0323,0.0192
2023-01-05 09:00:00,6695.0,0.0355,0.00274
2023-01-05 10:00:00,6337.0,0.0466,0.0082
2023-01-05 11:00:00,6339.0,0.0191,0.00538
2023-01-05 12:00:00,6371.0,0.011,0.00543
2023-01-05 13:00:00,6409.0,0.0321,0.00267
2023-01-05 14:00:00,6325.0,0.0161,0.00276
2023-01-05 15:00:00,127.0,0.0297,0.0162
2023-01-05 16:00:00,0.00833,0.0218,0.0134
2023-01-05 17:00:00,0.00275,0.03,0.0
2023-01-05 18:00:00,0.00274,0.0272,0.00542
2023-01-05 19:00:00,0.0,0.0191,0.00275
2023-01-05 20:00:00,0.00272,0.0134,0.00815
2023-01-05 21:00:00,0.00274,0.0165,0.0137
2023-01-05 22:00:00,0.00275,0.0375,0.00817
2023-01-05 23:00:00,0.0,0.0272,0.00271
2023-01-06 00:00:00,0.00272,0.022,0.0137
2023-01-06 01:00:00,0.00278,0.0248,0.00824
2023-01-06 02:00:00,0.0027,0.0108,0.0027
2023-01-06 03:00:00,0.00275,0.0164,0.00809
2023-01-06 04:00:00,0.0,0.0272,0.00822
2023-01-06 05:00:00,0.00273,0.0219,0.0109
2023-01-06 06:00:00,0.00276,20.0,0.0082
2023-01-06 07:00:00,1395.0,6762.0,0.00277
2023-01-06 08:00:00,4856.0,6780.0,0.00539
2023-01-06 09:00:00,4651.0,6726.0,0.00271
2023-01-06 10:00:00,4615.0,6398.0,0.00546
2023-01-06 11:00:00,4637.0,6712.0,0.00546
2023-01-06 12:00:00,862.0,3445.0,0.0162
2023-01-06 13:00:00,0.00275,0.0608,0.0166
2023-01-06 14:00:00,0.00271,0.0295,0.00538
2023-01-06 15:00:00,0.00536,0.044,0.0136
2023-01-06 16:00:00,0.0,0.0275,0.00813
2023-01-06 17:00:00,0.0,0.0216,0.00546
2023-01-06 18:00:00,0.00277,0.0294,0.0138
2023-01-06 19:00:00,0.0027,0.0331,0.0109
2023-01-06 20:00:00,0.00549,0.0302,0.00272
2023-01-06 21:00:00,0.0,0.0369,0.00539
2023-01-06 22:00:00,0.00273,0.0349,0.00275
2023-01-06 23:00:00,0.00554,0.035,0.0136
2023-01-07 00:00:00,0.0,0.036,0.00831
2023-01-07 01:00:00,0.00548,0.0304,0.011
2023-01-07 02:00:00,0.0,0.0351,0.00271
2023-01-07 03:00:00,0.00271,0.0407,0.0027
2023-01-07 04:00:00,0.00552,0.0246,0.00268
2023-01-07 05:00:00,0.00826,0.0244,0.00824
2023-01-07 06:00:00,0.00551,0.0217,0.00822
2023-01-07 07:00:00,0.00554,0.011,0.00815
2023-01-07 08:00:00,0.00272,0.0303,0.00809
2023-01-07 09:00:00,0.0,0.0356,0.00817
2023-01-07 10:00:00,0.0,0.0136,0.00269
2023-01-07 11:00:00,0.00822,0.0272,0.0193
2023-01-07 12:00:00,0.00535,0.0571,0.00543
2023-01-07 13:00:00,0.0,0.0663,0.0381
2023-01-07 14:00:00,0.00274,0.071,0.0082
2023-01-07 15:00:00,0.0,0.0379,0.0244
2023-01-07 16:00:00,0.00552,0.0383,0.0192
2023-01-07 17:00:00,0.00271,0.0217,0.011
