n_households,objective,kWc,wh_battery,puissance_totale,puissance_produite,tot_conso,p_bat_max,total_cost_without 
1,512.5632763295196,11.311098579090462,15409.711708709734,2192968.1730188574,8844041.365098543,3303687.0375,7704.855854354867,1117.8150513749413
2,1158.9925517722088,20.107614271268197,37761.63258673851,5027472.36196287,15721954.072372759,8253624.407500001,18880.816293369255,2794.3288755500735
3,2102.3274311509676,51.072230033968964,74657.39543273277,10482764.677516602,39932895.277141295,15743630.127499998,37328.69771636638,5310.06974912463
4,3707.6937268948072,100.0,100000.0,17722616.36740048,78189057.43998502,25999536.437500004,50000.0,8800.76580357449
5,4972.501280670025,105.21323621383443,100000.0,21918453.48033032,82265237.69770224,37322599.75750001,50000.0,12654.32760650201
6,5903.466502138268,120.98066750812477,100000.0,25586850.70412247,94593643.60920468,45242380.7825,50000.0,15335.307969623605
7,6478.474213617621,127.46477290415741,100000.0,27743142.98366186,99663504.50177911,49954340.592500016,50000.0,16918.251036401514
8,6728.202964724855,129.55669335250252,100000.0,28587775.917166546,101299157.38273291,53161239.135,50000.0,18006.533963024725
9,7239.375310851594,138.61491710453842,100000.0,30602535.07960136,108381697.15525573,58750571.160000004,50000.0,19883.46968100242
10,8117.702513560781,145.6,100000.0,33725791.14856479,113843267.63261904,65962166.2325,50000.0,22360.945071167014
11,8671.751899830679,145.6,100000.0,35498640.71699151,113843267.63261904,72037175.88,50000.0,24388.75706280286
12,9189.934330774293,145.6,100000.0,37088780.42302446,113843267.63261904,78333880.54999998,50000.0,26536.504512691972
13,10305.727860037532,145.6,100000.0,40577238.22267507,113843267.63261904,91689313.86,50000.0,31095.51676311633
14,11141.236577776153,145.6,100000.0,43267966.14358462,113843267.63261904,99150178.2775,50000.0,33615.23563715359
15,11430.563913762791,145.6,100000.0,44172555.46069729,113843267.63261904,103863356.59999998,50000.0,35177.86608288309
16,11544.80798953256,145.6,100000.0,44514054.73975249,113843267.63261904,106742220.02500002,50000.0,36150.72415236848
17,11763.778092553406,145.6,100000.0,45227736.19406884,113843267.63261904,111546506.5225,50000.0,37754.13700243518
18,12829.145364750011,145.6,100000.0,48627804.49889313,113843267.63261904,121649804.425,50000.0,41207.75003337272
19,13122.324200638079,145.6,100000.0,49549094.65840161,113843267.63261904,127672975.93999998,50000.0,43223.388606773864
20,13834.858683632523,145.6,100000.0,51796617.804484144,113843267.63261904,137648595.13750002,50000.0,46604.85536203161
21,14589.947094864887,145.6,100000.0,54227767.71286687,113843267.63261904,148603268.72500002,50000.0,50313.34843340676
22,14592.524280237758,145.6,100000.0,54219358.250894904,113843267.63261904,150204367.40000007,50000.0,50844.56338471457
23,15127.730751068471,145.6,100000.0,55939348.53093817,113843267.63261904,156865930.5525001,50000.0,53087.73620450403
24,15859.558552265798,145.6,100000.0,58200642.6309896,113843267.63261904,165112709.98750007,50000.0,55927.42025291558
25,15580.98158064448,145.6,100000.0,57354918.219722755,113843267.63261904,165349824.72750005,50000.0,55949.49177749315
26,16194.486307643565,145.6,100000.0,59259372.84855088,113843267.63261904,172054719.73249987,50000.0,58245.32575938776
27,16606.025188985142,145.6,100000.0,60508180.17406938,113843267.63261904,178761792.4374999,50000.0,60558.73284519676
28,17284.521560452027,145.6,100000.0,62643966.330936305,113843267.63261904,189320077.85750002,50000.0,64141.79208169912
29,17937.81095762909,145.6,100000.0,64657803.907677546,113843267.63261904,202168944.22749993,50000.0,68530.11029581132
30,18416.2045741158,145.6,100000.0,66106095.59275781,113843267.63261904,211278887.9575001,50000.0,71597.62839601134
31,18152.395442573197,145.6,100000.0,65288989.61846804,113843267.63261904,209880408.62000012,50000.0,71107.43900820769
32,18442.508856330536,145.6,100000.0,66222059.34980502,113843267.63261904,215175303.6375,50000.0,72893.75462360698
33,18741.58430582655,145.6,100000.0,67116475.46201214,113843267.63261904,221530378.97500002,50000.0,75037.1806073826
34,19139.17307818647,145.6,100000.0,68312276.43003783,113843267.63261904,229249625.3549999,50000.0,77604.26923593345
35,19667.26609076313,145.6,100000.0,69947597.30148284,113843267.63261904,238466315.00999996,50000.0,80764.44371321479
36,19927.58655563801,145.6,100000.0,70743530.23305775,113843267.63261904,245349395.30249995,50000.0,83073.28534357526
37,20529.5490893356,145.6,100000.0,72553056.44152924,113843267.63261904,259867007.41999993,50000.0,88040.76210936892
38,20213.03127377655,145.6,100000.0,71628161.21215652,113843267.63261904,257050011.60999992,50000.0,87042.90007441235
39,20885.468243845546,145.6,100000.0,73634606.41234861,113843267.63261904,269336863.26750004,50000.0,91190.46717625063
40,20472.793414769698,145.6,100000.0,72383694.86048904,113843267.63261904,266458131.22999993,50000.0,90193.4994488469
41,20741.571703228266,145.6,100000.0,73183942.8151709,113843267.63261904,273159370.3074998,50000.0,92456.56818347822
42,21044.37618298498,145.6,100000.0,74129629.22076826,113843267.63261904,279903046.6750001,50000.0,94768.23733083707
43,21806.931017076167,145.6,100000.0,76416838.72466588,113843267.63261904,293531140.7725,50000.0,99415.20247260552
44,21596.066447434026,145.6,100000.0,75804192.32585329,113843267.63261904,296083703.1099999,50000.0,100262.52277051291
45,22094.643561734665,145.6,100000.0,77321361.29676284,113843267.63261904,309502424.0425001,50000.0,104793.94194624665
46,21731.83905521203,145.6,100000.0,76189388.50680842,113843267.63261904,306519411.4575,50000.0,103799.49778649899
47,22049.125616598594,145.6,100000.0,77171887.68378769,113843267.63261904,314095280.76750004,50000.0,106339.26204217586
48,22643.520316102407,145.6,100000.0,78978830.55138867,113843267.63261904,325030629.1150001,50000.0,110083.587732246
