n_households,objective,kWc,wh_battery,puissance_totale,puissance_produite,tot_conso,p_bat_max,total_cost_without 
1,479.23085569283637,11.09953737896656,13133.216553002965,2148819.7436599014,8678623.656812735,3303687.0375,6566.608276501483,1117.8150513749413
2,1077.8936547308172,18.757053896643317,31404.7056014475,4840908.6386344675,14665963.645295493,8253624.407500001,15702.35280072375,2794.3288755500735
3,1945.09089841502,49.99851364626552,61523.70636928478,10237066.169582164,39093366.55401719,15743630.127499998,30761.85318464239,5310.06974912463
4,3473.569533763621,99.99999969801033,97072.36884864589,17666620.346906416,78189057.43998502,25999536.437500004,48536.18442432294,8800.76580357449
5,4859.722998734747,111.86217102724719,150998.7810050328,23752191.306057367,87463977.15810934,37322599.75750001,75499.3905025164,12654.32760650201
6,5939.245491360858,129.13317023843504,182565.56208718408,28735411.48516126,100968008.65180278,45242380.7825,91282.78104359204,15335.307969623605
7,6645.837157481412,140.9306805407357,192527.14792767665,31849074.969193917,110192370.75855817,49954340.592500016,96263.57396383832,16918.251036401514
8,6989.502368395418,146.9315336540561,204154.0310489707,33484294.657288373,114884381.24622127,53161239.135,102077.01552448535,18006.533963024725
9,7666.436688175873,159.50521491140915,230427.45227490691,36844975.68338594,124715624.10685344,58750571.160000004,115213.72613745346,19883.46968100242
10,8695.265339074604,178.31860413481732,248400.18329380176,41468465.955295496,139425635.81315222,65962166.2325,124200.09164690088,22360.945071167014
11,9467.166817246312,193.04711123734066,275712.46270866017,45351635.93393409,150941716.69159734,72037175.88,137856.23135433008,24388.75706280286
12,10149.957361167493,208.57732425192657,297737.8051011624,48778160.05933162,163084643.86612466,78333880.54999998,148868.9025505812,26536.504512691972
13,11750.630073922912,258.2504122223642,347987.3681097048,57538880.29670962,201923563.15154392,91689313.86,173993.6840548524,31095.51676311633
14,12916.362613148052,279.1023190999997,368242.86289308465,62810973.02527088,218227472.59743172,99150178.2775,184121.43144654232,33615.23563715359
15,13469.732058863965,290.26979951454354,393424.005516718,65688797.73140332,226959220.27335754,103863356.59999998,196712.002758359,35177.86608288309
16,13766.460674564729,306.27410265098734,418399.4356790543,67894500.84289129,239472834.04557914,106742220.02500002,209199.71783952715,36150.72415236848
17,14251.364256868157,318.2691192727299,428820.57166176883,70296113.146042,248851624.48188874,111546506.5225,214410.28583088442,37754.13700243518
18,15840.789018137075,346.8674483039052,455614.1057652237,77379978.42368102,271212388.39495337,121649804.425,227807.05288261184,41207.75003337272
19,16527.470847490113,363.84494862766275,491240.8832426392,81150332.67260855,284486935.87496716,127672975.93999998,245620.4416213196,43223.388606773864
20,17819.068098993048,400.1654917036572,500000.0,87294189.75256383,312885626.16316974,137648595.13750002,250000.0,46604.85536203161
21,19132.988209452407,427.4045307473207,500000.0,92834512.04902257,334183574.04712266,148603268.72500002,250000.0,50313.34843340676
22,19195.28373701014,437.35250393653814,500000.0,93485963.19422887,341961800.5181541,150204367.40000007,250000.0,50844.56338471457
23,20082.960777715973,460.6066264087423,500000.0,97529964.99022348,360143979.695113,156865930.5525001,250000.0,53087.73620450403
24,21290.59126132382,489.55593066307875,500000.0,102711168.00383511,382779167.8270074,165112709.98750007,250000.0,55927.42025291558
25,21054.430416093677,463.5249933411677,500000.0,100762618.88759258,362425823.292213,165349824.72750005,250000.0,55949.49177749315
26,21995.638165014603,474.42494620179156,500000.0,104225847.44923325,370948393.6953374,172054719.73249987,250000.0,58245.32575938776
27,22760.612303991104,497.65622989159294,500000.0,107654997.77711271,389112715.44360805,178761792.4374999,250000.0,60558.73284519676
28,23975.128880244694,524.8746525371257,500000.0,112749032.35675867,410394543.5601791,189320077.85750002,250000.0,64141.79208169912
29,25339.490385796256,545.292540498108,500000.0,117863082.49356802,426359097.7060197,202168944.22749993,250000.0,68530.11029581132
30,26506.9120860123,546.0,500000.0,121673786.12344132,426912253.6223247,211278887.9575001,250000.0,71597.62839601134
31,25982.428821215646,546.0,500000.0,119905280.94582258,426912253.6223247,209880408.62000012,250000.0,71107.43900820769
32,26653.13567986476,546.0,500000.0,122021468.40818013,426912253.6223247,215175303.6375,250000.0,72893.75462360698
33,27351.3775154358,546.0,500000.0,124216915.84157902,426912253.6223247,221530378.97500002,250000.0,75037.1806073826
34,28324.688217548566,546.0,500000.0,127386002.79855241,426912253.6223247,229249625.3549999,250000.0,77604.26923593345
35,29397.026999846414,546.0,500000.0,130685722.14938912,426912253.6223247,238466315.00999996,250000.0,80764.44371321479
36,29995.478665423227,546.0,500000.0,132595652.98606649,426912253.6223247,245349395.30249995,250000.0,83073.28534357526
37,31528.172229877015,546.0,500000.0,137316924.4649281,426912253.6223247,259867007.41999993,250000.0,88040.76210936892
38,30835.322209434715,546.0,500000.0,135052404.29423976,426912253.6223247,257050011.60999992,250000.0,87042.90007441235
39,32429.074849547196,546.0,500000.0,140208802.4341427,426912253.6223247,269336863.26750004,250000.0,91190.46717625063
40,31590.127151772875,546.0,500000.0,137428706.17749318,426912253.6223247,266458131.22999993,250000.0,90193.4994488469
41,32300.132582202168,546.0,500000.0,139640595.68931246,426912253.6223247,273159370.3074998,250000.0,92456.56818347822
42,32998.30806518184,546.0,500000.0,141808962.4487961,426912253.6223247,279903046.6750001,250000.0,94768.23733083707
43,34742.83545116314,546.0000000000002,500000.0,147331745.5663524,426912253.6223248,293531140.7725,250000.0,99415.20247260552
44,34449.398120076854,546.0,500000.0,146297987.3857124,426912253.6223247,296083703.1099999,250000.0,100262.52277051291
45,35777.265941763595,546.0000000000002,500000.0,150525395.0822627,426912253.6223248,309502424.0425001,250000.0,104793.94194624665
46,35134.73028733951,546.0,500000.0,148318032.18470794,426912253.6223247,306519411.4575,250000.0,103799.49778649899
47,35988.94627986082,546.0,500000.0,151130931.15703687,426912253.6223247,314095280.76750004,250000.0,106339.26204217586
48,37313.638788549026,546.0,500000.0,155286617.52558273,426912253.6223247,325030629.1150001,250000.0,110083.587732246
