n_households,objective,kWc,wh_battery,puissance_totale,puissance_produite,tot_conso
1,348.0478845062267,10.00560399195933,2072.092592592593,1496795.8944009424,7823287.45249052,3303687.0375
2,793.5019631846737,14.334047136245688,3617.651241200832,3240865.0564461704,11207656.348833796,8253624.407500001
3,1304.9644653832468,19.901292596442957,5577.234567901234,5359258.655241754,15560633.0995323,15743630.127499998
4,2055.842163704803,26.753286141081933,6160.460009841065,8259108.047508778,20918142.2679344,25999536.437500004
5,2720.882097244941,100.0,7377.26851851852,13634475.346744556,78189057.43998495,37322599.75750001
6,3441.985622302132,100.0,8159.569321881572,16013209.905343788,78189057.43998495,45242380.7825
7,3816.379423972335,100.0,8441.358024691359,17214102.96312026,78189057.43998502,49954340.592500016
8,4006.418836418144,100.00011210826533,8441.358024691359,17814658.617842287,78189145.0963815,53161239.135
9,4365.491506609371,100.0,8000.0,18886115.62433118,78189057.43998495,58750571.16
10,5087.68346904359,101.05503805261849,8000.0,21208812.7363224,79013981.7489619,65962166.2325
11,5447.794213219671,110.65678433324636,8000.0,22785833.52907415,86521496.66356233,72037175.88
12,5944.002710993958,119.99348100163292,8000.0,24786046.947232187,93821771.78460526,78333880.54999998
13,6828.613111417816,136.9267260321105,7773.889873409847,28350744.16967441,107061716.4679397,91689313.86
14,7549.903348450704,148.21549543398277,7765.432098765434,31153558.747424804,115888298.8598351,99150178.2775
15,7781.827076566037,150.11304511798676,7482.228238724207,31922866.96570471,117371975.07221392,103863356.59999998
16,7858.18553558211,157.47062207658675,8000.0,32589568.588185407,123124795.14656308,106742220.02500002
17,8083.868688477709,155.88801607294604,8000.0,33213163.55167327,121887370.4293295,111546506.5225
18,9012.66257116918,173.07298961085343,8000.0,36991873.41520548,135324139.25992864,121649804.425
19,9318.16629365576,173.22948821691432,7677.397336409722,37919488.97837077,135446504.0449147,127672975.93999998
20,9998.656847370135,191.09196124204965,7588.021519317536,40933637.51929966,149413003.3387416,137648595.13750002
21,10765.060608351096,200.01621951137585,7407.407407407407,43801291.65937549,156390796.76303658,148603268.72500002
22,10774.780951691846,197.8347706579966,7765.432098765434,43761055.83731847,154685142.466044,150204367.40000007
23,11351.931528441224,207.5041486008342,7446.238757378872,46061087.51138948,162245537.93985757,156865930.5525001
24,12164.39036614584,218.9515899787257,7407.407407407404,49181976.945716366,171196184.45422703,165112709.98750007
25,11826.128937849202,217.3941086176126,7487.459728759222,48051738.71669382,169978404.45817038,165349824.72750005
26,12474.95104698108,233.42888535996275,7407.407407407403,50905297.10119038,182515845.2556185,172054719.73249987
27,13077.983381781676,229.47106279010023,7541.679801513656,52610955.79980562,179421261.09309703,178761792.4374999
28,13914.505160340084,274.5419345023962,7959.137216032726,57545402.74478299,214661750.86492383,189320077.8575
29,14788.60852417158,293.1384632993536,8000.0,61142676.58222974,229202201.4478204,202168944.22749996
30,15427.60307347792,302.47363510839324,7996.663631681381,63589953.94258249,236501284.29571527,211278887.9575001
31,15128.448425358984,307.4513672022431,8000.0,62876034.036213726,240393326.10178065,209880408.6200001
32,15579.699329884595,315.34364625761333,8000.0,64685451.21774308,246564224.70570865,215175303.6375
33,15991.382829209124,322.2144598414787,8000.0,66309407.42573559,251936449.0853921,221530378.975
34,16466.345458466396,328.679348942058,8000.0,68103569.21363014,256991284.9376747,229249625.3549999
35,17360.24621844713,347.3963612125999,8000.0,71784333.51009837,271625940.4129391,238466315.01
36,17769.54582184671,357.0070035302908,7976.828014845044,73527692.58448465,279140411.0550679,245349395.30249995
37,18847.71847539752,385.1800477299764,7794.896091257165,78218259.76423413,301168648.7669495,259867007.41999996
38,18471.27239675701,370.2501591983093,7765.432098765434,76336606.074807,289495109.6472047,257050011.60999992
39,19527.87902384484,395.0779507829739,8000.0,80854864.02204597,308907725.87041783,269336863.26750004
40,18892.088529920547,382.05464159626985,7961.733222562696,78258217.40078965,298724923.16983527,266458131.22999996
41,19440.99784547103,394.92202530123694,7898.148148148148,80577564.85851078,308785809.2059374,273159370.3074998
42,20038.00476835158,403.59979580411806,8000.0,82862485.04750082,315570876.1689429,279903046.6750001
43,21363.06582217412,427.29561085867175,8000.0,88134987.08099812,334098410.61282474,293531140.7725
44,21159.593524368072,414.6592774218418,7774.058617771684,86929891.89759453,324218180.6035923,296083703.1099999
45,22077.448847190604,445.5350439966711,7986.515504348665,91252745.25913104,348359651.46582097,309502424.0425001
46,21565.18581112576,443.97249506489743,7741.144834950696,89517774.08988374,347137909.18402404,306519411.4575
47,22198.22320290878,449.7533309115051,7950.305949671947,91830239.64756157,351657890.24464875,314095280.76750004
48,23329.63797105961,459.26479360611137,7776.230183879272,95821078.99864094,359094813.2743151,325030629.1150001
