n_households,objective,kWc,wh_battery,puissance_totale,puissance_produite,tot_conso,p_bat_max,total_cost_without 
1,512.5649492382752,11.490982657839606,15722.269566022587,2203947.3807517244,8984691.030756876,3303687.0375,7861.134783011294,1117.8150513749413
2,1158.990497534311,20.115059412291263,37782.730158730155,5028182.053982707,15727775.357963797,8253624.407500001,18891.365079365078,2794.3288755500735
3,2078.337535486592,31.14480703941669,69461.19841269842,9253134.607833862,24351831.065622073,15743630.127499998,34730.59920634921,5310.06974912463
4,3192.26945706598,36.4,88257.8511282949,13445332.90092796,28460816.90815476,25999536.437500004,44128.92556414745,8800.76580357449
5,3893.2715817803087,36.4,106947.00478010862,15696331.986346914,28460816.90815476,37322599.75750001,53473.50239005431,12654.32760650201
6,4440.556038086948,36.4,115932.45579505918,17495604.49806971,28460816.90815476,45242380.7825,57966.22789752959,15335.307969623605
7,4808.193315108907,36.4,116603.1614759963,18684274.978070356,28460816.90815476,49954340.592500016,58301.58073799815,16918.251036401514
8,4904.62299801647,36.4,113922.92281802124,18915714.839841846,28460816.90815476,53161239.135,56961.46140901062,18006.533963024725
9,5126.989627642983,36.4,117585.89798827136,19660521.15123491,28460816.90815476,58750571.160000004,58792.94899413568,19883.46968100242
10,5569.994391678997,36.4,114935.7010374068,20983852.96001293,28460816.90815476,65962166.2325,57467.8505187034,22360.945071167014
11,5850.959585536218,36.4,125929.72086250334,21991318.97793881,28460816.90815476,72037175.88,62964.86043125167,24388.75706280286
12,6025.102015360753,36.4,117136.85376376605,22368227.01945398,28460816.90815476,78333880.54999998,58568.426881883024,26536.504512691972
13,6417.493997589609,36.4,126424.54201913746,23606554.96853062,28460816.90815476,91689313.86,63212.27100956873,31095.51676311633
14,6695.92522986624,36.4,126797.58151592426,24444054.828516893,28460816.90815476,99150178.2775,63398.79075796213,33615.23563715359
15,6799.993446139886,36.4,126122.6096066296,24744189.443478532,28460816.90815476,103863356.59999998,63061.3048033148,35177.86608288309
16,6822.342975225017,36.4,126564.00783723712,24786361.56187563,28460816.90815476,106742220.02500002,63282.00391861856,36150.72415236848
17,6881.699101205079,36.4,124657.83875068599,24942293.139589064,28460816.90815476,111546506.5225,62328.91937534299,37754.13700243518
18,7150.239315891327,36.4,115894.71326439345,25574081.099788856,28460816.90815476,121649804.425,57947.35663219672,41207.75003337272
19,7211.119592160992,36.4,114027.81385140144,25724385.331591405,28460816.90815476,127672975.93999998,57013.90692570072,43223.388606773864
20,7345.193360576227,36.4,106947.00478010849,26000955.51338901,28460816.90815476,137648595.13750002,53473.502390054244,46604.85536203161
21,7485.695310942255,36.4,99214.5410898688,26345971.212902103,28460816.90815476,148603268.72500002,49607.2705449344,50313.34843340676
22,7479.482721026159,36.4,103903.34336018868,26336345.8934067,28460816.90815476,150204367.40000007,51951.67168009434,50844.56338471457
23,7551.905963290733,36.4,99908.81246168718,26477538.29646182,28460816.90815476,156865930.5525001,49954.40623084359,53087.73620450403
24,7657.798278249321,36.4,81983.93439809955,26639283.15794604,28460816.90815476,165112709.98750007,40991.96719904977,55927.42025291558
25,7611.001253796179,36.4,94355.47090863991,26598780.102597833,28460816.90815476,165349824.72750005,47177.735454319954,55949.49177749315
26,7693.8862578431235,36.4,89283.71245569685,26749783.25046325,28460816.90815476,172054719.73249987,44641.856227848424,58245.32575938776
27,7732.998028330375,36.4,81186.58047221355,26813609.73585387,28460816.90815476,178761792.4374999,40593.290236106775,60558.73284519676
28,7811.536403317137,36.4,71091.0126169207,26967556.244859792,28460816.90815476,189320077.85750002,35545.50630846035,64141.79208169912
29,7856.44959501575,36.4,71178.37741543389,27089796.690830573,28460816.90815476,202168944.22749993,35589.188707716945,68530.11029581132
30,7906.261627818633,36.4,61187.41625955658,27194599.810734164,28460816.90815476,211278887.9575001,30593.70812977829,71597.62839601134
31,7882.767198042173,36.4,64118.251106740194,27141815.01034107,28460816.90815476,209880408.62000012,32059.125553370097,71107.43900820769
32,7904.633214113839,36.4,61149.56948376604,27197095.863730446,28460816.90815476,215175303.6375,30574.78474188302,72893.75462360698
33,7942.378550954428,36.4,55093.30767638487,27275182.09102008,28460816.90815476,221530378.97500002,27546.653838192437,75037.1806073826
34,7975.934544833679,36.4,55656.88577317151,27365727.425025035,28460816.90815476,229249625.3549999,27828.442886585755,77604.26923593345
35,8028.441780666701,36.4,45293.82280172762,27486503.072912857,28460816.90815476,238466315.00999996,22646.91140086381,80764.44371321479
36,8051.907526725425,36.4,44197.99347493607,27552141.167803366,28460816.90815476,245349395.30249995,22098.996737468035,83073.28534357526
37,8095.420007095898,36.4,38997.336634539264,27661023.8857978,28460816.90815476,259867007.41999993,19498.668317269632,88040.76210936892
38,8066.939942227188,36.4,41538.34566428778,27589048.32499353,28460816.90815476,257050011.60999992,20769.17283214389,87042.90007441235
39,8125.998710603519,36.4,32230.591563985363,27733728.495829698,28460816.90815476,269336863.26750004,16115.295781992681,91190.46717625063
40,8095.899955621121,36.4,37727.0401018305,27657182.362102263,28460816.90815476,266458131.22999993,18863.52005091525,90193.4994488469
41,8101.61632478114,36.4,39134.66829218025,27678804.8385536,28460816.90815476,273159370.3074998,19567.334146090125,92456.56818347822
42,8128.419401883408,36.4,32508.591991541303,27736709.01970997,28460816.90815476,279903046.6750001,16254.295995770652,94768.23733083707
43,8177.0985314417485,36.4,32758.707371832028,27889359.06160948,28460816.90815476,293531140.7725,16379.353685916014,99415.20247260552
44,8153.160657779921,36.4,32963.8055800808,27814723.36064977,28460816.90815476,296083703.1099999,16481.9027900404,100262.52277051291
45,8189.889901107816,36.4,31154.279381559987,27924658.199045774,28460816.90815476,309502424.0425001,15577.139690779994,104793.94194624665
46,8167.071821365457,36.4,30418.614173993406,27857321.47414657,28460816.90815476,306519411.4575,15209.307086996703,103799.49778649899
