n_households,objective,kWc,wh_battery,puissance_totale,puissance_produite,tot_conso,p_bat_max,total_cost_without 
1,512.5661470065527,11.357783111537074,15490.828489764352,2195816.737075841,8880543.560988536,3303687.0375,7745.414244882176,1117.8150513749413
2,1158.9970959820982,20.089178410944044,37716.034469966624,5025792.143218643,15707539.246954367,8253624.407500001,18858.017234983312,2794.3288755500735
3,2102.311586321804,51.21811734939302,74926.39204287475,10492039.659075733,40046963.19399583,15743630.127499998,37463.196021437376,5310.06974912463
4,3691.096430334709,91.0,108154.33682747223,17509293.879614033,71152042.27038565,25999536.437500004,54077.168413736115,8800.76580357449
5,5141.543134871018,91.0,172366.40549679607,22948366.085315257,71152042.27038565,37322599.75750001,86183.20274839803,12654.32760650201
6,6155.422127977705,91.0,194929.08333333334,26485789.905627314,71152042.27038565,45242380.7825,97464.54166666669,15335.307969623605
7,6759.088749377348,91.0,210198.15476190476,28629345.42044098,71152042.27038565,49954340.592500016,105099.0773809524,16918.251036401514
8,7031.087950956904,91.0,226396.94444444444,29665600.446346138,71152042.27038565,53161239.135,113198.47222222222,18006.533963024725
9,7532.87383134932,91.0,232459.80486774063,31283961.86382904,71152042.27038565,58750571.160000004,116229.90243387032,19883.46968100242
10,8324.14351811471,91.0,234583.2610955537,33752956.511422805,71152042.27038565,65962166.2325,117291.63054777685,22360.945071167014
11,8860.245873138841,91.0,248417.0072926853,35613161.42892704,71152042.27038565,72037175.88,124208.50364634265,24388.75706280286
12,9278.301530959554,91.0,263311.1306382556,36958996.473402716,71152042.27038565,78333880.54999998,131655.5653191278,26536.504512691972
13,10157.269644319284,91.0,270162.9241730757,39677690.40100261,71152042.27038565,91689313.86,135081.46208653785,31095.51676311633
14,10821.007120496777,91.0,280831.89420547074,41902863.24752425,71152042.27038565,99150178.2775,140415.94710273537,33615.23563715359
15,11074.31623130412,91.0,289723.94141032663,42769507.77228539,71152042.27038565,103863356.59999998,144861.97070516332,35177.86608288309
16,11151.817577812833,91.0,286528.78068514576,42956326.41085129,71152042.27038565,106742220.02500002,143264.39034257288,36150.72415236848
17,11314.570623482277,91.0,293507.63155114005,43530903.560708016,71152042.27038565,111546506.5225,146753.81577557002,37754.13700243518
18,12146.662212336478,91.0,289655.2329987385,46117186.3532732,71152042.27038565,121649804.425,144827.61649936924,41207.75003337272
19,12384.349509910387,91.0,298621.36016623466,46919924.88774821,71152042.27038565,127672975.93999998,149310.68008311733,43223.388606773864
20,12902.999273358253,91.0,302656.9315948061,48571189.68242874,71152042.27038565,137648595.13750002,151328.46579740304,46604.85536203161
21,13438.878035862603,91.0,310886.3362191665,50339847.66185683,71152042.27038565,148603268.72500002,155443.16810958326,50313.34843340676
22,13469.729792501244,91.0,291866.6875889177,50244818.6463357,71152042.27038565,150204367.40000007,145933.34379445884,50844.56338471457
23,13823.800638893654,91.0,299591.0234891552,51405430.795954935,71152042.27038565,156865930.5525001,149795.5117445776,53087.73620450403
24,14384.602189724728,91.0,292230.3711102714,53050717.67038387,71152042.27038565,165112709.98750007,146115.1855551357,55927.42025291558
25,14196.430183855256,91.0,288317.3824399831,52448424.92948602,71152042.27038565,165349824.72750005,144158.69121999154,55949.49177749315
26,14633.290773138997,91.0,321378.36603844626,54067792.48077482,71152042.27038565,172054719.73249987,160689.18301922313,58245.32575938776
27,14824.837808086711,91.0,304510.53200978274,54393911.995180525,71152042.27038565,178761792.4374999,152255.26600489137,60558.73284519676
28,15221.001488189007,91.0,282441.19134343346,55341699.24812329,71152042.27038565,189320077.85750002,141220.59567171673,64141.79208169912
29,15648.4101151768,91.0,299280.065184638,56773556.17716982,71152042.27038565,202168944.22749993,149640.032592319,68530.11029581132
30,16022.950800912637,91.0,293920.902908408,57865750.09159298,71152042.27038565,211278887.9575001,146960.451454204,71597.62839601134
31,15845.782900033299,91.0,296705.6683592412,57349470.865025796,71152042.27038565,209880408.62000012,148352.8341796206,71107.43900820769
32,16011.353144120614,91.0,293862.0411016541,57863213.69702655,71152042.27038565,215175303.6375,146931.02055082706,72893.75462360698
33,16249.634388957753,91.0,319908.81253022555,58791136.79346924,71152042.27038565,221530378.97500002,159954.40626511278,75037.1806073826
34,16640.782095344224,91.0,315938.0026279671,59980395.486117065,71152042.27038565,229249625.3549999,157969.00131398355,77604.26923593345
35,16887.49549680871,91.0,331793.1793255249,60790799.862455435,71152042.27038565,238466315.00999996,165896.58966276245,80764.44371321479
36,17063.012491539095,91.0,318032.060512818,61211379.66303205,71152042.27038565,245349395.30249995,159016.030256409,83073.28534357526
37,17399.009242813718,91.0,312539.465990032,62015113.813132346,71152042.27038565,259867007.41999993,156269.732995016,88040.76210936892
38,17172.771628945673,91.0,313284.52617015253,61437248.17159183,71152042.27038565,257050011.60999992,156642.26308507627,87042.90007441235
39,17619.259250675186,91.0,315845.0527459265,62694557.64142655,71152042.27038565,269336863.26750004,157922.52637296324,91190.46717625063
40,17349.494970853706,91.0,303695.0486701522,61825492.072221726,71152042.27038565,266458131.22999993,151847.5243350761,90193.4994488469
41,17506.243539665556,91.0,302151.34599102265,62214009.90385327,71152042.27038565,273159370.3074998,151075.67299551133,92456.56818347822
42,17656.574528550533,91.0,305187.19724158087,62646562.262274355,71152042.27038565,279903046.6750001,152593.59862079044,94768.23733083707
43,18067.07671393819,91.0,294445.000043144,63605372.70746902,71152042.27038565,293531140.7725,147222.500021572,99415.20247260552
44,17928.92199441694,91.0,304779.5104002868,63317771.30315679,71152042.27038565,296083703.1099999,152389.7552001434,100262.52277051291
45,18234.038390990583,91.0,282864.46574423846,63953842.890076846,71152042.27038565,309502424.0425001,141432.23287211923,104793.94194624665
46,18055.48083495101,91.0,304358.836965025,63647379.374040365,71152042.27038565,306519411.4575,152179.4184825125,103799.49778649899
47,18209.069456816378,91.0,291794.163669532,63994412.27228494,71152042.27038565,314095280.76750004,145897.081834766,106339.26204217586
48,18488.362280482168,91.0,274806.57488099165,64579228.455182135,71152042.27038565,325030629.1150001,137403.28744049583,110083.587732246
