capex_battery,injection_price,n_households,objective,kWc,wh_battery,puissance_totale,puissance_produite,tot_conso,p_bat_max,total_cost_without
0.015,0.01,20,16455.730813178445,215.69706222739035,909678.0754289113,77093482.72335957,168651499.88133714,137648595.13750002,454839.0377144556,46604.85536203161
0.015,0.02,20,17425.952580935184,268.27650020519394,887122.4736679677,82646211.00796115,209762866.84342164,137648595.13750002,443561.2368339839,46604.85536203161
0.015,0.03,20,18738.485517721616,303.73079812933184,869615.6419569807,85618505.17712992,237484248.21226996,137648595.13750002,434807.8209784904,46604.85536203161
0.015,0.04,20,20645.59403546609,466.8322706193833,1042549.2451196174,96054298.67870615,365011752.222981,137648595.13750002,521274.6225598087,46604.85536203161
0.015,0.05,20,24537.571265305334,728.0,1410139.612836067,109108929.93999794,569216338.1630852,137648595.13750002,705069.8064180335,46604.85536203161
0.015,0.06,20,29006.05237184782,727.9999547657376,1391817.6815907652,109000095.9888382,569216302.7948484,137648595.13750002,695908.8407953826,46604.85536203161
0.015,0.07,20,33475.26254672432,727.9999547657376,1391817.6815907657,109000095.9888382,569216302.7948484,137648595.13750002,695908.8407953829,46604.85536203161
0.015,0.08,20,37945.03100361795,728.0,1379198.2360962844,108917187.9549175,569216338.1630852,137648595.13750002,689599.1180481422,46604.85536203161
0.015,0.09,20,42416.11467986503,728.0,1265877.1788266983,108101276.34257647,569216338.1630852,137648595.13750002,632938.5894133492,46604.85536203161
0.015,0.1,20,46895.844521207735,728.0,1265877.1788266974,108101276.34257647,569216338.1630852,137648595.13750002,632938.5894133487,46604.85536203161
0.02,0.01,20,15946.11368690253,221.5087684320877,790392.6350460148,77018699.03024274,173195618.18397036,137648595.13750002,395196.3175230074,46604.85536203161
0.02,0.02,20,16946.64369131558,266.73152821076656,752865.2512322611,81720811.11925401,208554867.80326703,137648595.13750002,376432.62561613054,46604.85536203161
0.02,0.03,20,18241.49464892636,303.73079812933184,724384.8028527753,84650800.29857875,237484248.21226996,137648595.13750002,362192.40142638766,46604.85536203161
0.02,0.04,20,20060.74744787577,453.155803082766,962161.7003048576,94862409.22683732,354318251.16501325,137648595.13750002,481080.8501524287,46604.85536203161
0.02,0.05,20,23759.04699349439,728.0,1231565.9017678497,107832619.04320572,569216338.1630852,137648595.13750002,615782.9508839248,46604.85536203161
0.02,0.06,20,28246.77559406019,727.9999547657376,1162083.2567472772,107244794.30219956,569216302.7948484,137648595.13750002,581041.6283736386,46604.85536203161
0.02,0.07,20,32739.345354947167,727.9999547657376,1067743.2656173336,106399041.53054364,569216302.7948484,137648595.13750002,533871.6328086668,46604.85536203161
0.02,0.08,20,37240.590493720505,728.0,978245.5926650092,105542351.43372248,569216338.1630852,137648595.13750002,489122.7963325047,46604.85536203161
0.02,0.09,20,41751.28003857312,728.0,950772.4941532112,105262967.40677354,569216338.1630852,137648595.13750002,475386.2470766056,46604.85536203161
0.02,0.1,20,46267.76797072508,728.0,899138.5732093693,104743817.01719484,569216338.1630852,137648595.13750002,449569.2866046847,46604.85536203161
0.025,0.01,20,15540.114929133364,216.92709503033984,580590.5396825398,74835746.41304685,169613250.93616578,137648595.13750002,290295.2698412698,46604.85536203161
0.025,0.02,20,16524.19751524368,257.77566147876223,701010.2716938802,80448708.63569976,201552360.019928,137648595.13750002,350505.1358469401,46604.85536203161
0.025,0.03,20,17830.329546579625,308.3227868747812,690309.7855612884,84729165.18036091,241074680.9300835,137648595.13750002,345154.8927806442,46604.85536203161
0.025,0.04,20,19544.466928254737,418.54588480974746,763194.2795259672,91539020.36804858,327257082.2865913,137648595.13750002,381597.1397629836,46604.85536203161
0.025,0.05,20,23140.65346587948,728.0,913168.8147333384,104884883.30113973,569216338.1630852,137648595.13750002,456584.4073666693,46604.85536203161
0.025,0.06,20,27661.29987632433,727.9999547657376,890525.2252766193,104658485.95985287,569216302.7948484,137648595.13750002,445262.61263830966,46604.85536203161
0.025,0.07,20,32185.905154639244,727.9999547657376,830208.8337617998,104025082.6214234,569216302.7948484,137648595.13750002,415104.4168808999,46604.85536203161
0.025,0.08,20,36714.92867118839,728.0,830039.7949048185,104023221.47603342,569216338.1630852,137648595.13750002,415019.89745240926,46604.85536203161
0.025,0.09,20,41245.00048824417,728.0,810695.3201763703,103797879.8393078,569216338.1630852,137648595.13750002,405347.6600881852,46604.85536203161
0.025,0.1,20,45778.17135013839,728.0,797047.7365341643,103630302.67616336,569216338.1630852,137648595.13750002,398523.8682670821,46604.85536203161
0.03,0.01,20,15200.4011269558,217.34282725371295,576145.2427703375,74842402.47203997,169938308.04309213,137648595.13750002,288072.62138516875,46604.85536203161
0.03,0.02,20,16137.72441080382,242.40541517610407,580590.5396825398,77707336.89330518,189534509.30967745,137648595.13750002,290295.2698412698,46604.85536203161
0.03,0.03,20,17454.5503394373,307.68805025549767,614128.7543191332,83934557.6270014,240578386.3502384,137648595.13750002,307064.3771595666,46604.85536203161
0.03,0.04,20,19153.470976908437,384.6822143436109,618512.3094973605,88509201.36716835,300779397.53453416,137648595.13750002,309256.15474868024,46604.85536203161
0.03,0.05,20,22642.27023849772,728.0,810695.3201763709,103797879.8393078,569216338.1630852,137648595.13750002,405347.6600881855,46604.85536203161
0.03,0.06,20,27175.05011591175,727.9999547657376,797047.7634742378,103630301.56493267,569216302.7948484,137648595.13750002,398523.8817371189,46604.85536203161
0.03,0.07,20,31711.771801784507,727.9999547657376,765295.0886142484,103220022.09454128,569216302.7948484,137648595.13750002,382647.5443071242,46604.85536203161
0.03,0.08,20,36255.863671859486,728.0,707351.8454830659,102462097.58359656,569216338.1630852,137648595.13750002,353675.92274153297,46604.85536203161
0.03,0.09,20,40805.88038510475,728.0,685459.8182640703,102165441.70414037,569216338.1630852,137648595.13750002,342729.9091320352,46604.85536203161
0.03,0.1,20,45358.88033943125,728.0,660338.9854851668,101799711.6837119,569216338.1630852,137648595.13750002,330169.4927425834,46604.85536203161
0.035,0.01,20,14868.329833435026,217.2104194617792,561797.5618323126,74670327.0867632,169834779.63860494,137648595.13750002,280898.7809161563,46604.85536203161
0.035,0.02,20,15798.19464183066,241.7769145565948,577175.2738095239,77602144.9997776,189043090.59928116,137648595.13750002,288587.63690476195,46604.85536203161
0.035,0.03,20,17107.812801829758,308.4840106642414,579078.5079365079,83582935.2368915,241200740.2914348,137648595.13750002,289539.253968254,46604.85536203161
0.035,0.04,20,18810.554843367398,396.1615689450336,579078.5079365079,88595384.30630517,309754996.69758004,137648595.13750002,289539.253968254,46604.85536203161
0.035,0.05,20,22196.06467254197,728.0,697420.0872947699,102329423.11366837,569216338.1630852,137648595.13750002,348710.04364738497,46604.85536203161
0.035,0.06,20,26747.476209857334,727.9999547657376,685459.7573450432,102165439.44342704,569216302.7948484,137648595.13750002,342729.8786725216,46604.85536203161
0.035,0.07,20,31301.69927576928,727.9999547657376,659552.3268855381,101788306.37965515,569216302.7948484,137648595.13750002,329776.16344276903,46604.85536203161
0.035,0.08,20,35860.22115922792,728.0,640265.1699990082,101498541.63203032,569216338.1630852,137648595.13750002,320132.5849995041,46604.85536203161
0.035,0.09,20,40421.81674307687,728.0,624638.7896825398,101258533.56983344,569216338.1630852,137648595.13750002,312319.3948412699,46604.85536203161
0.035,0.1,20,44986.10566395368,728.0,614392.9924801696,101091641.40742314,569216338.1630852,137648595.13750002,307196.4962400848,46604.85536203161
0.04,0.01,20,14556.932121688678,208.7257665375428,511313.2646082786,72969556.62561457,163200709.49009013,137648595.13750002,255656.6323041393,46604.85536203161
0.04,0.02,20,15468.459821942408,240.48092277537856,536885.6681369358,76903588.64336812,188029766.84104705,137648595.13750002,268442.8340684679,46604.85536203161
0.04,0.03,20,16769.268639916223,307.55902182530025,567837.51984127,83346712.55498315,240477500.23684064,137648595.13750002,283918.759920635,46604.85536203161
0.04,0.04,20,18472.14515922285,382.30148397743005,569260.0954773736,87786198.01045321,298917926.90102625,137648595.13750002,284630.0477386868,46604.85536203161
0.04,0.05,20,21803.45321345048,728.0,640265.1699990083,101498541.63203032,569216338.1630852,137648595.13750002,320132.5849995041,46604.85536203161
0.04,0.06,20,26365.193156900903,727.9994985369464,624638.7896825396,101258518.51339172,569215946.0738671,137648595.13750002,312319.39484126994,46604.85536203161
0.04,0.07,20,30929.26531557469,727.9999547657376,614392.9480885231,101091639.3376258,569216302.7948484,137648595.13750002,307196.4740442616,46604.85536203161
0.04,0.08,20,35495.26103215269,728.0,606265.4911638002,100951088.47099882,569216338.1630852,137648595.13750002,303132.7455819001,46604.85536203161
0.04,0.09,20,40064.60966271166,728.0,580590.5396825398,100480397.34055144,569216338.1630852,137648595.13750002,290295.2698412698,46604.85536203161
0.04,0.1,20,44638.09733656641,728.0,578740.01984127,100444961.50400604,569216338.1630852,137648595.13750002,289370.009920635,46604.85536203161
0.045,0.01,20,14264.72159119343,203.5910474276116,470007.3725778452,71706765.39436466,159185921.01584235,137648595.13750002,235003.6862889226,46604.85536203161
0.045,0.02,20,15168.97723421336,239.19488925851817,496594.49369006575,76148572.09897798,187024229.35585096,137648595.13750002,248297.24684503287,46604.85536203161
0.045,0.03,20,16439.65557321574,299.43649408534594,553161.405148935,82504316.44449753,234126572.3566712,137648595.13750002,276580.7025744675,46604.85536203161
0.045,0.04,20,18143.812688893948,394.26500144233097,545882.453736701,87957713.71487185,308272088.4435011,137648595.13750002,272941.2268683505,46604.85536203161
0.045,0.05,20,21438.052652016915,728.0,610565.2711638003,101025950.89815052,569216338.1630852,137648595.13750002,305282.63558190013,46604.85536203161
0.045,0.06,20,26005.411585458336,727.9994985369464,601748.0013434571,100869513.28909692,569215946.0738671,137648595.13750002,300874.0006717286,46604.85536203161
0.045,0.07,20,30578.05257629209,727.9999547657376,579078.5079365079,100451616.21304771,569216302.7948484,137648595.13750002,289539.253968254,46604.85536203161
0.045,0.08,20,35151.691360081546,728.0,577975.9168419999,100429454.88263918,569216338.1630852,137648595.13750002,288987.958421,46604.85536203161
0.045,0.09,20,39725.68832813975,728.0,576824.8293650794,100405148.87617072,569216338.1630852,137648595.13750002,288412.41468253965,46604.85536203161
0.045,0.1,20,44301.49288148657,728.0,567441.7426894037,100193016.98221137,569216338.1630852,137648595.13750002,283720.87134470185,46604.85536203161
0.05,0.01,20,13992.907981107692,202.13710728145463,461405.747938862,71387578.55518538,158049098.91982082,137648595.13750002,230702.87396943095,46604.85536203161
0.05,0.02,20,14885.60580521453,232.9072990166898,461255.7390348832,74861425.74584937,182108021.81007797,137648595.13750002,230627.8695174416,46604.85536203161
0.05,0.03,20,16125.651066543214,299.70781850948174,523350.6256590631,81971499.91398567,234338718.36650544,137648595.13750002,261675.31282953155,46604.85536203161
0.05,0.04,20,17828.194461905285,395.2962859544548,534059.3426152202,87785010.26997502,309078440.0830601,137648595.13750002,267029.6713076101,46604.85536203161
0.05,0.05,20,21091.54546106604,728.0,578740.0198412698,100444961.50400604,569216338.1630852,137648595.13750002,289370.0099206349,46604.85536203161
0.05,0.06,20,25665.275512068,727.9994985369464,577175.2738095238,100412688.08101992,569215946.0738671,137648595.13750002,288587.6369047619,46604.85536203161
0.05,0.07,20,30239.40804678515,727.9999547657376,573361.1111111111,100328308.85115084,569216302.7948484,137648595.13750002,286680.5555555556,46604.85536203161
0.05,0.08,20,34815.40619776716,728.0,567441.7426894037,100193016.98221137,569216338.1630852,137648595.13750002,283720.87134470185,46604.85536203161
0.05,0.09,20,39394.72757507335,728.0,547236.639375642,99698829.59095646,569216338.1630852,137648595.13750002,273618.319687821,46604.85536203161
0.05,0.1,20,43981.16152655041,728.0,533272.5665823322,99346648.90335488,569216338.1630852,137648595.13750002,266636.2832911661,46604.85536203161
0.055,0.01,20,13732.33806441712,198.35432924358503,432465.8785785622,70381262.92144851,155091380.42696393,137648595.13750002,216232.9392892811,46604.85536203161
