n_households,objective,kWc,wh_battery,puissance_totale,puissance_produite,tot_conso
1,348.0478845062267,10.00560399195933,2072.092592592593,1496795.8944009424,7823287.45249052,3303687.0375
2,793.5019631846737,14.334047136245688,3617.6512412008324,3240865.0564461704,11207656.348833796,8253624.407500001
3,1304.9644653832468,19.901292596442953,5577.234567901234,5359258.655241754,15560633.099532299,15743630.127499998
4,2055.842163704803,26.753286141081933,6160.460009841065,8259108.047508778,20918142.267934397,25999536.437500004
5,2720.882097244941,100.0,7377.26851851852,13634475.346744556,78189057.43998495,37322599.75750001
6,3441.9856223021316,100.0,8159.569321881572,16013209.905343788,78189057.43998495,45242380.7825
7,3816.379423972335,100.0,8441.358024691359,17214102.96312026,78189057.43998502,49954340.592500016
8,4006.4188364181437,100.00011210826533,8441.358024691359,17814658.617842287,78189145.0963815,53161239.135
9,4365.491506609371,100.0,8000.0,18886115.62433118,78189057.43998495,58750571.160000004
10,5087.68346904359,101.05503805261849,8000.0,21208812.7363224,79013981.7489619,65962166.2325
11,5447.794213219671,110.65678433324635,8000.0,22785833.52907415,86521496.66356233,72037175.88
12,5944.002710993958,119.99348100163293,8000.0,24786046.947232187,93821771.78460526,78333880.54999998
13,6828.613111417816,136.9267260321105,7773.889873409847,28350744.169674415,107061716.4679397,91689313.86
14,7549.903348450704,148.21549543398277,7765.432098765434,31153558.747424804,115888298.8598351,99150178.2775
15,7781.827076566037,150.11304511798676,7482.228238724207,31922866.96570471,117371975.07221392,103863356.59999998
16,7858.18553558211,157.47062207658675,8000.0,32589568.588185407,123124795.14656307,106742220.02500002
17,8083.868688477709,155.88801607294604,8000.0,33213163.55167327,121887370.4293295,111546506.5225
18,9012.66257116918,173.07298961085345,8000.0,36991873.41520548,135324139.25992864,121649804.425
19,9318.16629365576,173.22948821691432,7677.397336409722,37919488.97837077,135446504.0449147,127672975.93999998
20,9998.656847370137,191.09196124204965,7588.021519317536,40933637.51929966,149413003.3387416,137648595.13750002
21,10765.060608351097,200.01621951137582,7407.407407407407,43801291.65937549,156390796.76303658,148603268.72500002
22,10774.780951691846,197.83477065799661,7765.432098765434,43761055.83731847,154685142.466044,150204367.40000007
23,11351.931528441224,207.5041486008342,7446.238757378872,46061087.51138948,162245537.93985757,156865930.5525001
24,12164.390366145839,218.9515899787257,7407.407407407404,49181976.945716366,171196184.45422703,165112709.98750007
25,11826.128937849202,217.3941086176126,7487.459728759222,48051738.71669382,169978404.45817038,165349824.72750005
26,12474.95104698108,233.42888535996275,7407.407407407403,50905297.10119038,182515845.25561854,172054719.73249987
27,13077.983381781676,229.47106279010023,7541.679801513656,52610955.79980562,179421261.09309703,178761792.4374999
28,13914.505160340083,274.5419345023962,7959.137216032726,57545402.74478299,214661750.86492386,189320077.85750002
29,14788.608524171581,293.1384632993536,8000.0,61142676.58222974,229202201.44782037,202168944.22749993
30,15427.603073477921,302.47363510839324,7996.663631681381,63589953.94258249,236501284.29571527,211278887.9575001
31,15128.448425358984,307.4513672022431,8000.0,62876034.036213726,240393326.10178065,209880408.62000012
32,15579.699329884595,315.34364625761333,8000.0,64685451.21774308,246564224.70570862,215175303.6375
33,15991.382829209124,322.2144598414787,8000.0,66309407.42573559,251936449.08539206,221530378.97500002
34,16466.345458466396,328.67934894205797,8000.0,68103569.21363014,256991284.9376747,229249625.3549999
35,17360.24621844713,347.3963612125999,8000.0,71784333.51009837,271625940.4129391,238466315.00999996
36,17769.54583595522,356.96996028062625,7976.407600435662,73525920.00741708,279111447.2873142,245349395.30249995
37,18844.7929696466,365.0,7407.407407407392,77227589.29427539,285390059.6559458,259867007.41999993
38,18469.631775842612,365.0,7765.432098765433,76087346.75852571,285390059.6559458,257050011.60999992
39,19517.80271411805,365.0,7625.551911653771,79380871.17864037,285390059.65594566,269336863.26750004
40,18887.522303306076,365.0,7754.657115314947,77426473.7336641,285390059.6559458,266458131.22999993
41,19424.834415737085,365.0,7530.864197530864,79094854.78800721,285390059.65594566,273159370.3074998
42,20009.50315551804,365.0,7574.074074074074,80927183.95770076,285390059.65594566,279903046.6750001
43,21281.231831121004,365.0,7138.888888888889,84877883.723617,285390059.6559458,293531140.7725
44,21093.982202587493,365.0,7000.0,84323467.80094409,285390059.6559458,296083703.1099999
45,21950.746826765593,365.0,7000.0,86988305.50407697,285390059.6559457,309502424.0425001
46,21456.399911734028,365.0,7000.0,85414244.40259135,285390059.6559458,306519411.4575
47,22056.638349914167,365.0000000000001,7000.0,87328520.16648412,285390059.6559458,314095280.76750004
48,23113.122332555038,365.0,7000.0,90659292.8236833,285390059.6559458,325030629.1150001
