n_households,objective,kWc,wh_battery,puissance_totale,puissance_produite,tot_conso
1,557.9108692157945,12.334924043500655,16784.24966797909,2296410.5380456857,9644560.84555135,3303687.0375
2,1222.707050361944,19.566042888333435,30227.311728395056,5002774.749817517,15298504.512691248,8253624.407500001
3,2118.153184755965,27.1943078689129,50000.0,8715179.750095466,21262973.000030786,15743630.127499998
4,3267.370003091726,64.9273433851606,50000.0,14409166.082256911,50766077.813679785,25999536.437500004
5,4310.208029290201,100.00479960339185,50000.0,18717629.725229494,78192810.20463859,37322599.75750001
6,5157.559231126515,100.00043533400572,50000.0,21390689.84452801,78189397.82354061,45242380.7825
7,5671.382690505732,100.0,50000.0,23055948.045388985,78189057.43998502,49954340.592500016
8,5860.718030325286,102.83150210386121,50000.0,23755465.774991453,80402982.24638686,53161239.135
9,6298.601770045645,110.57748613233812,50000.0,25504513.54225717,86459494.14770502,58750571.160000004
10,7096.49182771529,119.28697196261092,50000.0,28437306.361493148,93269359.0262643,65962166.2325
11,7597.147634390699,126.71069024028522,50000.0,30432847.58845162,99073894.37457822,72037175.88
12,8085.707229144265,131.6868424041229,50000.0,32196705.077436715,102964700.8482615,78333880.54999998
13,9117.998832849664,152.86428049104538,50000.0,36475069.537739076,119523140.07836357,91689313.86
14,9947.46297795256,161.74833399553188,50000.0,39584324.89818767,126469497.77598646,99150178.2775
15,10231.617979382027,162.8939985194999,50000.0,40529729.4073942,127365282.06870157,103863356.59999998
16,10311.73932896498,170.7891265134408,50000.0,41158240.80775339,133538408.23084332,106742220.02500002
17,10548.047907069189,176.4062497279957,50000.0,42210982.80902017,137930383.92754507,111546506.5225
18,11605.717424596256,189.1436250563269,50000.0,46205412.39264584,147889617.63936284,121649804.425
19,11932.606407200647,190.43440107465287,50000.0,47299533.64927333,148898863.24175432,127672975.93999998
20,12667.408179360196,205.66065814866474,50000.0,50385124.65486155,160804130.13131,137648595.13750002
21,13471.239155315106,217.97950249119424,50000.0,53573107.11036075,170436118.41023612,148603268.72500002
22,13495.120612991052,219.87550084952161,50000.0,53738056.815332025,171918581.65568623,150204367.40000007
23,14082.222165814404,229.51370297497095,50000.0,56101170.5326371,179454601.051736,156865930.5525001
24,14909.62634647932,263.4991478030214,50000.0,60410608.51937371,206027500.02957794,165112709.98750007
25,14583.400424832578,235.31001092291274,50000.0,57939920.876414575,183986679.60255197,165349824.72750005
26,15265.54588031428,274.10079660305246,50000.0,61993568.25564778,214316829.2994206,172054719.73249987
27,15877.137691398933,278.876201810663,50000.0,64127993.666498296,218050673.62019092,178761792.4374999
28,16736.886223370704,294.7719813207934,50000.0,67604925.8720558,230479433.791898,189320077.85750002
29,17627.074019992597,315.9455058030343,50000.0,71342313.33563769,247034813.0113876,202168944.22749993
30,18283.326289404667,325.8664764096201,50000.0,73843623.22985005,254791926.41757652,211278887.9575001
