n_households,objective,kWc,wh_battery,puissance_totale,puissance_produite,tot_conso,p_bat_max,total_cost_without 
30,16752.895301123346,404.9631197132302,248816.97899964175,103629298.40527023,316636846.28333336,217954440.51442373,124408.48949982088,71206.98474187858
31,17027.61818854647,410.66718996050355,252513.28400262867,105229878.10894394,321096805.0453926,221357408.79004523,126256.64200131434,72324.74663553749
32,17380.03635213161,420.468036261939,258079.37091225677,107524979.29716249,328759994.3896281,226060088.08583692,129039.68545612838,73856.64443849352
33,17949.319018701055,434.17623834546157,266634.3113329526,111060105.6617158,339478308.3906988,233613320.61461636,133317.1556664763,76319.96026355567
34,18255.078091387146,440.9289024250171,271667.94546302635,112981340.54114926,344758152.7865969,237403397.10434464,135833.97273151317,77561.9672383291
35,18727.646222787826,451.13995757133637,278487.14173210534,115811534.324557,352742080.5601802,243593814.0983512,139243.57086605267,79583.2576366522
36,19251.99309872344,463.7384983767281,286011.58545523585,119017752.29277281,362592760.867106,250397956.00306982,143005.79272761793,81807.13601051443
37,20312.883655872996,492.2303242489705,301877.7432574515,125739624.60502914,384870250.9640565,264615274.5751992,150938.87162872576,86441.85531815662
38,20699.911925223154,500.82141488989,308257.90997911326,128175739.06732991,391587543.7600046,269502411.00264186,154128.95498955663,88042.76142709632
39,21175.522211159197,514.5071132709379,314815.2577705913,131166782.30343398,402288262.32822496,276208004.1433042,157407.62888529565,90214.98638672859
40,21517.694185028944,522.2808721466799,319821.35502951447,133247200.4972177,408366491.12082034,280620614.2679972,159910.67751475723,91657.42726235802
41,22038.15827893031,534.4909969900234,328148.82951277983,136531421.38066217,417913472.6480793,287416811.415783,164074.41475638992,93879.03191577179
42,22561.242025068845,547.0465127077438,337037.0750681119,139912886.55915663,427730512.0444901,294329640.318279,168518.53753405594,96134.64736490803
43,23237.57558287957,561.6210041740156,347400.35235594714,144051568.1736324,439126169.54864013,302224199.1924031,173700.17617797357,98748.65889408841
44,24038.625546441053,580.5027488238925,356170.7393608044,148574002.13420904,453889627.7186046,312793853.1322729,178085.3696804022,102200.15529285128
45,24888.58200705456,608.0601223030178,370643.5891220086,154459330.5817669,475436478.2971553,324694288.1034794,185321.7945610043,106055.53772450978
46,25175.1571500132,613.2894586362416,374938.3713304548,156143867.8937865,479525247.0864666,328121033.7886825,187469.1856652274,107185.96079085727
47,25584.470051926044,623.3496920857071,380510.60367629235,158621108.26098806,487391248.7968623,333346242.4139748,190255.30183814617,108895.17071139293
48,26002.307025416474,631.098355934146,386293.57287875743,161029607.8811672,493449856.0241502,338617924.6835504,193146.78643937872,110627.93014936161
