n_households,objective,kWc,wh_battery,puissance_totale,puissance_produite,tot_conso,p_bat_max,total_cost_without 
1,357.61665465853326,10.0,4790.656323849312,2027455.8894940843,7818905.743998554,3885624.723811394,2395.328161924656,1275.0197037968055
2,757.2911790116914,15.898115141940314,9585.488798054424,4146968.395123961,12430586.38020665,8783227.83031999,4792.744399027211,2880.257886781411
3,1335.2492557283442,23.8780540200899,17402.110272794635,7409790.750828974,18670025.373318758,17180981.0469494,8701.055136397317,5623.598085837403
4,1968.6698034609929,55.96413525354584,30680.661965282638,12958200.37354104,43757829.85918568,26309591.851854693,15340.330982641315,8610.40035938297
5,3180.533965910912,100.0,49153.41857158484,20694724.36152388,78189057.43998495,40494040.64608204,24576.709285792414,13240.072853444031
6,3860.2156152467687,100.0,56258.77538044215,23709980.407330573,78189057.43998502,48648042.27647005,28129.38769022108,15897.778117213713
7,4138.545611535352,100.0,59877.7271601195,25018698.868739765,78189057.43998502,52052187.59679688,29938.86358005975,17014.699875959748
8,4503.376295581024,108.52607410415264,65447.49549034429,27274235.105250403,84855514.41865659,56757242.53806101,32723.747745172142,18550.204676104004
9,5074.002175847356,120.75744565607138,72969.21986495292,30596001.96266323,94419108.54708429,64296767.66377726,36484.60993247646,21006.075757742397
10,5381.261203235843,128.349379766843,76831.08724988533,32409564.824889302,100355170.26976122,68085967.66454381,38415.54362494266,22248.673017395977
11,5851.933250378885,140.29722230636312,83737.88517184835,35341467.56603824,109697075.73582436,74280542.54708894,41868.942585924175,24272.536720894088
12,6377.948920721103,151.33128843648265,92242.73897409967,38617829.483439215,118324508.0402725,81079967.7188586,46121.36948704984,26495.750452340817
13,7429.543261448115,172.3965623909072,107214.91488850284,44858633.49267517,134795247.19238678,95307690.96115768,53607.45744425141,31130.17698970292
14,7811.943638126088,181.24125428832383,112254.94105268847,47139310.54158428,141710828.42044738,100194758.8953416,56127.470526344245,32730.493885195672
15,8274.07575370018,190.9540390582057,118992.25012878032,49936592.38350251,149305163.28319302,106898131.59033044,59496.125064390166,34901.965343550364
16,8598.882848895197,198.7567714794659,124094.69315301265,52005582.65091794,155406046.21794206,111310550.40126272,62047.34657650632,36344.2054083984
17,9111.985476666609,208.45125633254008,132215.7294986937,55146321.86902584,162986072.54821908,118106070.840422,66107.86474934685,38567.25654860874
18,9616.59591621528,215.8009448100433,136144.06899285573,57593024.73168252,168732724.69355547,125027153.8647025,68072.03449642786,40826.61966200899
19,10262.116932060731,229.73531422985863,144987.9481734247,61467872.58380536,179627876.80311322,132917480.23140477,72493.97408671235,43440.05829796303
20,11037.574234068408,267.51316025139334,162592.9528254236,68152810.74249962,209166018.52848217,143482985.61758593,81296.4764127118,46877.8537285612
21,11888.101792435118,282.40562911388537,174157.84892097162,72997320.5999,220810299.5616104,155374741.2554401,87078.92446048581,50729.30983336086
22,12172.087006865318,288.1475208258254,176908.83476971707,74499727.11342204,225299830.5704008,158802067.02939445,88454.41738485853,51861.31637302105
23,12580.460246609888,301.3885828342496,184963.5258099289,77449834.296163,235652892.14982656,164033979.95043927,92481.76290496446,53574.45325341533
24,13006.994154608516,307.47090758696856,189782.3048210192,79675555.64459515,240408604.5444194,169312402.74652007,94891.1524105096,55309.62531840429
25,13319.87509328022,321.63034438310143,197461.8777728395,82341290.35167456,251479734.7141264,173200484.84283143,98730.93888641975,56587.4016238314
26,13705.973167978142,324.74955362899607,200083.1643502277,84002400.34217736,253918615.02307543,178097216.5562014,100041.58217511384,58194.692372468606
27,14355.499420764325,342.25571927638634,211035.9715827356,88280831.11724077,267606520.9366501,186495715.54789156,105517.9857913678,60940.80021112913
28,15059.465400681436,362.2337350267572,221625.95830618107,92804124.15572935,283227143.1470739,195624457.1858207,110812.97915309052,63927.55200204306
29,16127.675308400318,383.4882035598823,236104.66447352996,98992625.33689228,299845811.75700456,209796573.09829304,118052.33223676497,68547.62478589945
30,16752.895301123346,404.9631197132302,248816.97899964172,103629298.40527023,316636846.28333336,217954440.51442373,124408.48949982088,71206.98474187858
31,17027.61818854647,410.6671899605036,252513.28400262867,105229878.10894394,321096805.0453926,221357408.79004523,126256.64200131434,72324.74663553749
32,17380.03635213161,420.468036261939,258079.3709122568,107524979.29716247,328759994.3896281,226060088.0858369,129039.68545612838,73856.64443849352
33,17949.319018701055,434.1762383454616,266634.3113329526,111060105.6617158,339478308.3906988,233613320.6146164,133317.1556664763,76319.96026355567
34,18255.078091387142,440.9289024250171,271667.94546302635,112981340.54114926,344758152.7865969,237403397.10434464,135833.97273151315,77561.9672383291
35,18727.646222787826,451.1399575713364,278487.14173210534,115811534.324557,352742080.5601802,243593814.0983512,139243.57086605267,79583.2576366522
36,19251.99309872344,463.7384983767281,286011.58545523585,119017752.2927728,362592760.867106,250397956.00306985,143005.79272761793,81807.13601051443
