n_households,objective,kWc,wh_battery,puissance_totale,puissance_produite,tot_conso,p_bat_max,total_cost_without 
20,21013.521648159884,362.0610674379908,759823.647305169,98974022.9997213,283092135.9869175,338617924.6835504,379911.8236525845,46877.8537285612
21,22687.050615348333,391.66235770175,838141.646642729,107177884.15890211,306237105.834221,338617924.6835504,419070.8233213645,50729.30983336086
22,23215.666208971634,399.1764545784361,857143.3860295285,109560897.06796582,312112307.3572308,338617924.6835504,428571.6930147642,51861.31637302105
23,23983.356910375263,412.8812351306164,887869.6867355756,113228163.30706099,322827946.0952017,338617924.6835504,443934.8433677878,53574.45325341533
24,24773.933514984652,424.6797768111463,909971.0490228699,116760223.4447032,332053114.6268677,338617924.6835504,454985.52451143495,55309.62531840429
25,25354.501535831198,435.5369987096435,927401.0399177726,119479956.32750477,340542274.093473,338617924.6835504,463700.5199588863,56587.4016238314
26,26080.519112185044,448.23438221772363,944735.9711451302,122787127.01851764,350470238.57798123,338617924.6835504,472367.9855725651,58194.692372468606
27,27310.003835675965,469.8183101129567,979687.0033491957,128473381.54452264,367346508.3577859,338617924.6835504,489843.50167459785,60940.80021112913
28,28654.167239024322,492.1448932612411,1025109.9017274859,134720103.83783284,384803453.27998614,338617924.6835504,512554.95086374297,63927.55200204306
29,30707.93816336097,527.9105795312821,1087810.9412696108,144289536.42654756,412768306.26147205,338617924.6835504,543905.4706348054,68547.62478589945
30,31904.586588216152,548.4051486074621,1129472.6369742707,149908431.26945958,428792816.6485284,338617924.6835504,564736.3184871353,71206.98474187858
31,32427.297480097863,555.818023273998,1145056.4445902328,152242229.19169736,434588873.479498,338617924.6835504,572528.2222951164,72324.74663553749
32,33113.480548060514,566.6132294082481,1177406.8418965857,155526905.72396982,443029543.4045767,338617924.6835504,588703.4209482928,73856.64443849352
33,34205.20088079297,586.6148864103842,1219462.4099763294,160769723.20812753,458668650.4869224,338617924.6835504,609731.2049881647,76319.96026355567
34,34781.38681411896,594.9965604466163,1239466.1048195362,163385955.87008,465222202.4135378,338617924.6835504,619733.0524097681,77561.9672383291
35,35683.3483893778,610.4249020446144,1267423.6742702327,167576829.1421751,477285477.2876333,338617924.6835504,633711.8371351163,79583.2576366522
36,36681.71103326584,631.5563453210223,1299959.1022303943,172431016.94470227,493807953.60893065,338617924.6835504,649979.5511151971,81807.13601051443
37,38721.62867082498,663.8675412812587,1376992.588221313,181955661.2101532,519071773.1778176,338617924.6835504,688496.2941106565,86441.85531815662
38,39452.6204267829,675.4637221011089,1402705.7177513076,185333777.91825876,528138717.6599014,338617924.6835504,701352.8588756538,88042.76142709632
39,40392.53021690926,692.3429465535122,1438857.4792358205,189858640.3254151,541336424.1624103,338617924.6835504,719428.7396179102,90214.98638672859
40,41038.2752065461,703.0647363527303,1461601.496564087,192870877.8125873,549719690.5471166,338617924.6835504,730800.7482820435,91657.42726235802
41,42032.69964001021,720.2408891794421,1493853.131424837,197506022.0986959,563149562.5467713,338617924.6835504,746926.5657124185,93879.03191577179
42,43033.536331684714,737.6362745216717,1529330.2168975612,202223317.64508197,576750850.3839133,338617924.6835504,764665.1084487806,96134.64736490803
43,44251.90451862785,759.6599440515957,1569527.0805578274,207895205.63346696,593970950.0030664,338617924.6835504,784763.5402789137,98748.65889408841
44,45790.61413011619,785.9754450714878,1618290.788995466,215048824.95669064,614546792.2111311,338617924.6835504,809145.394497733,102200.15529285128
45,47467.18566142943,813.6903601200877,1680034.5599422657,222971984.16575384,636216823.0579246,338617924.6835504,840017.2799711329,106055.53772450978
46,47996.93430230305,821.7360512854948,1702124.0066908028,225422581.28171587,642507673.1446838,338617924.6835504,851062.0033454014,107185.96079085727
47,48763.931606766586,835.052895401712,1733770.2240816166,229085829.52673492,652919988.039901,338617924.6835504,866885.1120408083,108895.17071139293
48,49551.60050099224,849.1088655177073,1758864.1148429462,232761703.0448571,663910218.5876486,338617924.6835504,879432.0574214731,110627.93014936161
